global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_62231649,tiki,100,4.02,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74689093,tiki,100,4.87,0.0,0,0,100,0.0,0.0,0.75,1
tiki_418556,tiki,100,4.21,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6332871,tiki,100,4.62,0.0,0,0,100,0.0,0.0,0.75,1
tiki_63511644,tiki,100,4.34,0.0,0,0,100,0.0,0.0,0.75,1
tiki_113568856,tiki,100,4.37,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6376015,tiki,100,4.39,0.0,0,0,100,0.0,0.0,0.75,1
tiki_41257992,tiki,100,4.76,0.0,0,0,100,0.0,0.0,0.75,1
tiki_32933095,tiki,100,4.01,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74486743,tiki,100,4.89,0.0,0,0,100,0.0,0.0,0.75,1
tiki_192977208,tiki,100,4.19,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6431175,tiki,100,4.84,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74346170,tiki,100,4.94,0.0,0,0,100,0.0,0.0,0.75,1
tiki_3345493,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74345320,tiki,100,4.99,0.0,0,0,100,0.0,0.0,0.75,1
tiki_193177952,tiki,100,4.76,0.0,0,0,100,0.0,0.0,0.75,1
tiki_74344538,tiki,100,4.96,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6478415,tiki,100,4.13,0.0,0,0,100,0.0,0.0,0.75,1
tiki_34612056,tiki,100,4.89,0.0,0,0,100,0.0,0.0,0.75,1
tiki_65008052,tiki,100,4.84,0.0,0,0,100,0.0,0.0,0.75,1
tiki_408131,tiki,100,4.22,0.0,0,0,100,0.0,0.0,0.75,1
tiki_40737659,tiki,100,4.61,0.0,0,0,100,0.0,0.0,0.75,1
tiki_134364129,tiki,100,4.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_73744564,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_73666130,tiki,100,4.69,0.0,0,0,100,0.0,0.0,0.75,1
tiki_35278834,tiki,100,4.46,0.0,0,0,100,0.0,0.0,0.75,1
tiki_66758390,tiki,100,4.23,0.0,0,0,100,0.0,0.0,0.75,1
tiki_1938895,tiki,100,4.7,0.0,0,0,100,0.0,0.0,0.75,1
tiki_6711831,tiki,100,4.33,0.0,0,0,100,0.0,0.0,0.75,1
tiki_73165085,tiki,100,4.65,0.0,0,0,100,0.0,0.0,0.75,1
tiki_270975124,tiki,100,4.99,0.0,0,0,100,0.0,0.0,0.75,1
tiki_24416554,tiki,100,4.59,0.0,0,0,100,0.0,0.0,0.75,1
tiki_88778074,tiki,100,4.78,0.0,0,0,100,0.0,0.0,0.75,1
tiki_72744612,tiki,100,4.85,0.0,0,0,100,0.0,0.0,0.75,1
tiki_19408798,tiki,100,4.15,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2462825,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_67245899,tiki,100,4.72,0.0,0,0,100,0.0,0.0,0.75,1
